CODIGOISIMP;AUTORIZACAO;DATAPUBLICACAO;RAZAOSOCIAL;CNPJ;ENDERECO;COMPLEMENTO;BAIRRO;CEP;UF;MUNICIPIO;DISTRIBUIDORA;DATAVINCULACAO;CLASSE
1260076;GLPMG0348743;13/12/2019;EDIMAR CONTAO FERREIRA;35097503000101;RUA ESPANHA,  40;;ALVORADA INDUSTRIAL;32920000;MG;SAO JOAQUIM DE BICAS;INDEPENDENTE;13/12/2019;1 AREA  - Classe II - NBR 15514
1258167;GLPMS0344411;17/10/2019;C B L MARTINS;34116544000135;RUA JORDAO ALVES CORREA,  3750;ANEXO 02;CAMBARAI;79150000;MS;MARACAJU;NACIONAL GAS BUTANO;16/12/2019;1 AREA  - Classe II - NBR 15514
1260346;GLPSP0349681;18/12/2019;LRC GAS, AGUA E VARIEDADES LTDA.;32300661000129;PRACA GETULIO VARGAS,  115;;VILA FIGUEIREDO;9450000;SP;RIO GRANDE DA SERRA;NACIONAL GAS BUTANO;04/07/2023;1 AREA  - Classe IV - NBR 15514
1259660;GLPPB0347177;29/11/2019;LAERCIO MARTINS DA COSTA;34516339000167;RUA JUSTINO ALVES AZEVEDO,  592;;CENTRO;58115000;PB;PUXINANA;MINASGAS;29/10/2021;1 AREA  - Classe II - NBR 15514
1272830;GLPSP0373404;23/04/2021;GASBOM ITU COMERCIO DE GAS LTDA;36163712000179;RODOVIA WALDOMIRO CORREA DE CAMARGO,  S/Nº;KM    60 5;TAPERA GRANDE;13308200;SP;ITU;CONSIGAZ;03/12/2021;1 AREA  - Classe IV - NBR 15514
1274435;GLPMT0379664;21/06/2021;ANNY DOWAN MARTINS SILVA LTDA;26831314000120;AVENIDA Coronel Botelho,  08;;Centro;78170000;MT;NOSSA SENHORA DO LIVRAMENTO;INDEPENDENTE;20/07/2023;1 AREA  - Classe II - NBR 15514
1274969;GLPES0381365;12/07/2021;M A F DOS SANTOS COMERCIAL;41849489000158;RUA 07 DE SETEMBRO,  SN;;SANTO AMARO;29960000;ES;CONCEICAO DA BARRA;SUPERGASBRAS ENERGIA;23/01/2025;1 AREA  - Classe I - NBR 15514
1275370;GLPCE0382964;22/07/2021;LIDER COMERCIO DE GLP LTDA;41663252000188;RUA JOSE ROMEIRO FEIJOEIRO,  220;;SAO JOSE;63024460;CE;JUAZEIRO DO NORTE;LIQUIGAS;22/07/2021;1 AREA  - Classe II - NBR 15514
1270827;GLPTO0369352;02/02/2021;EDMILSON DA SILVA;14322854000107;AVENIDA ZECA PEREIRA,  767;;SANTA FILOMENA;77650000;TO;MIRACEMA DO TOCANTINS;NACIONAL GAS BUTANO;02/02/2021;1 AREA  - Classe I - NBR 15514
1270605;GLPRS0368829;26/01/2021;CARLOS RAFAEL DEWES AGUERO;30217015000177;RUA ANSELMO MANZOLI FILHO,  134;;FARRAPOS;90245070;RS;PORTO ALEGRE;INDEPENDENTE;26/01/2021;1 AREA  - Classe I - NBR 15514
160087;GLPGO0364778;16/11/2020;GLS AUTO POSTO DE COMBUSTIVEIS E LUBRIFICANTES LTDA;05167138000101; Q 01 DO LOTEAMENTO MONT SERRAT PAIVA LT,  01;JARDIM LAGO AZUL;NOVO GAMA;72865001;GO;NOVO GAMA;INDEPENDENTE;16/11/2020;1 AREA  - Classe II - NBR 15514
1265702;GLPMG0358462;24/07/2020;DORALICE LANA CORDEIRO MACHADO;37008221000116;AVENIDA THALES CHAGAS,  1080;;CELVIA;33200598;MG;VESPASIANO;NACIONAL GAS BUTANO;18/10/2023;1 AREA  - Classe II - NBR 15514
1279546;GLPMG0390588;10/12/2021;BENJI GAS LTDA;44136693000110;RUA PEROLA,  828;;FRANCISCADRIANGELA;33822100;MG;RIBEIRAO DAS NEVES;INDEPENDENTE;10/12/2021;1 AREA  - Classe II - NBR 15514
1278722;GLPMT0389007;10/11/2021;GILZA N. DE S. SOAVE;17873882000100;RUA DOS GIRASSOIS,  71;SETOR N;JARDIM PLANALTO 2;78415000;MT;NOVA MARILANDIA;INDEPENDENTE;10/11/2021;1 AREA  - Classe II - NBR 15514
1269999;GLPTO0367105;05/01/2021;C N P DE SOUSA;38231276000153;RUA SAO JOSE,  S/N;QUADRA53                  LOTE  18;SETOR SUL;77860000;TO;WANDERLANDIA;NACIONAL GAS BUTANO;08/02/2023;1 AREA  - Classe IV - NBR 15514
1279116;GLPMT0389548;25/11/2021;SUPER CHAMA DISTRIBUIDORA DE GAS E AGUA LTDA;37285394000343;RUA TAPUIAS,  409;QUADRA210                 LOTE  30;SANTO ANTONIO;78820000;MT;JACIARA;INDEPENDENTE;25/11/2021;1 AREA  - Classe II - NBR 15514
1278969;GLPSP0389344;22/11/2021;COMERCIO DE GAS E AGUA KURASHIKI LTDA;40975064000122;AVENIDA INDEPENDENCIA,  733;;ROCIO;11990000;SP;CANANEIA;LIQUIGAS;22/11/2021;1 AREA  - Classe III - NBR 15514
1281659;GLPMG0394997;25/02/2022;JR COMERCIO DE GAS LTDA;42817357000107;RUA CASTRO ALVES,  140;;PLANALTO;39404027;MG;MONTES CLAROS;LIQUIGAS;25/02/2022;1 AREA  - Classe IV - NBR 15514
1049722;GLPMG0398855;03/05/2022;MELHOR GAS LTDA;03425013000281;AVENIDA PORTUGAL,  1040;COMERCIO;PARQUE DAS NACOES;37706189;MG;POCOS DE CALDAS;INDEPENDENTE;12/08/2025;1 AREA  - Classe III - NBR 15514
1279970;GLPPA0391383;23/12/2021;ANA ERIKA ANDRADE DOS SANTOS LTDA;43877179000172;TRAVESSA VITORIA REGIA,  419;;APEU;68740432;PA;CASTANHAL;LIQUIGAS;23/12/2021;1 AREA  - Classe III - NBR 15514
1282943;GLPGO0397067;12/04/2022;CARVALHO GAS LTDA;45094135000100;ALAMEDA DAS GARDENIAS,  660;QUADRA84                  LOTE  1;SETOR PONTA KAYANA;75384502;GO;TRINDADE;INDEPENDENTE;12/04/2022;1 AREA  - Classe II - NBR 15514
1283809;GLPBA0399518;10/05/2022;NS TRINDADE TRANSPORTES E COMERCIO DE GAS LTDA;45619635000100;LOTEAMENTO CLAUDIO SAMPAIO ALVES FIGUEIREDO,  05A;;CENTRO;48390000;BA;CARDEAL DA SILVA;NACIONAL GAS BUTANO;10/05/2022;1 AREA  - Classe IV - NBR 15514
